product_id,product_name,brand,category_id,super_category_id,mrp,cost_price,pack_size,weight_grams,launch_date,is_active
SKU000064,Peter England Womens Fashion 250g,Peter England,CAT0101,CAT0005,1412.75,877.55,250g,1219,2024-02-13,1
SKU000065,Nivea Fragrances Pair,Nivea,CAT0029,CAT0002,300.08,186.34,Pair,4604,2021-05-18,1
SKU000066,Hawkins Home Decor 1L,Hawkins,CAT0051,CAT0003,1061.34,746.68,1L,2622,2020-02-02,1
SKU000067,Roadster Womens Fashion 1L,Roadster,CAT0100,CAT0005,3824.14,2483.05,1L,2505,2022-12-03,1
SKU000068,Mi TV 100g,Mi,CAT0071,CAT0004,63982.16,47106.45,100g,707,2020-02-18,1
SKU000069,Roadster Womens Fashion Single,Roadster,CAT0099,CAT0005,1239.34,920.58,Single,3122,2019-04-17,1
SKU000070,Roadster Ethnicwear Pack of 6,Roadster,CAT0104,CAT0005,840.51,634.9,Pack of 6,931,2020-09-07,1
SKU000071,Peter England Ethnicwear 1kg,Peter England,CAT0105,CAT0005,3537.47,2449.91,1kg,4566,2020-07-12,0
SKU000072,TataGold Spices 500g,TataGold,CAT0013,CAT0001,536.51,319.13,500g,1216,2019-02-17,1
SKU000073,Lakme Haircare Pack of 6,Lakme,CAT0049,CAT0002,804.4,445.78,Pack of 6,3356,2021-07-18,1
SKU000074,Pampers Strollers 250g,Pampers,CAT0134,CAT0006,3440.78,2665.43,250g,2565,2025-04-08,1
SKU000075,Dove Haircare 200ml,Dove,CAT0049,CAT0002,530.24,396.0,200ml,813,2019-04-08,1
SKU000076,Aashirvaad Atta & Rice 500g,Aashirvaad,CAT0017,CAT0001,720.51,519.17,500g,2493,2020-10-22,1
SKU000077,FabIndia Ethnicwear 1L,FabIndia,CAT0106,CAT0005,1892.95,1473.54,1L,1203,2024-06-23,1
SKU000078,Levis Womens Fashion 250g,Levis,CAT0100,CAT0005,1654.42,1259.87,250g,224,2023-10-25,1
SKU000079,Hot Wheels Strollers 1kg,Hot Wheels,CAT0133,CAT0006,1583.58,1153.18,1kg,4051,2025-07-06,1
SKU000080,Biotique Wellness 1L,Biotique,CAT0041,CAT0002,849.65,661.45,1L,2801,2020-04-11,1
SKU000081,Mee Mee Strollers 100g,Mee Mee,CAT0134,CAT0006,2494.98,1502.67,100g,4092,2020-03-18,1
SKU000082,Samsung Large Appliances 250g,Samsung,CAT0085,CAT0004,14646.52,11258.46,250g,55,2019-04-18,1
SKU000083,Chicco Strollers 1kg,Chicco,CAT0134,CAT0006,982.42,557.2,1kg,4177,2024-12-24,1
SKU000084,Pampers Baby Care Pack of 6,Pampers,CAT0118,CAT0006,2970.78,2277.07,Pack of 6,3794,2019-05-19,1
SKU000085,Pigeon Home Decor 500g,Pigeon,CAT0052,CAT0003,5865.57,3374.34,500g,4538,2020-08-11,1
SKU000086,Pampers Diapering 100g,Pampers,CAT0130,CAT0006,2776.09,2113.12,100g,2393,2023-06-30,1
SKU000087,Borosil Bath Linen Single,Borosil,CAT0063,CAT0003,388.84,294.13,Single,3852,2023-11-18,1
SKU000088,LG TV 100g,LG,CAT0072,CAT0004,21731.34,12689.58,100g,1432,2020-10-09,1
SKU000089,Dove Haircare Pack of 2,Dove,CAT0046,CAT0002,720.22,470.29,Pack of 2,125,2024-11-06,1
SKU000090,Hawkins Home Decor 250g,Hawkins,CAT0051,CAT0003,2971.68,2316.8,250g,908,2020-04-16,1
SKU000091,Samsung Audio Pack of 2,Samsung,CAT0094,CAT0004,14003.92,8488.83,Pack of 2,3956,2020-02-28,1
SKU000092,Mee Mee Baby Care 1kg,Mee Mee,CAT0116,CAT0006,3141.56,2110.15,1kg,4734,2023-11-27,1
SKU000093,Biba Footwear 100g,Biba,CAT0114,CAT0005,3078.33,2382.14,100g,1100,2020-11-16,1
SKU000094,Mi Large Appliances 1kg,Mi,CAT0085,CAT0004,65420.45,41323.94,1kg,4824,2025-01-19,1
SKU000095,Patanjali Atta & Rice Single,Patanjali,CAT0015,CAT0001,311.97,191.08,Single,1106,2019-08-16,1
SKU000096,Dove Wellness 1kg,Dove,CAT0042,CAT0002,1492.9,881.51,1kg,3461,2020-02-21,1
SKU000097,Cello Cleaning Single,Cello,CAT0059,CAT0003,4845.16,2715.23,Single,2400,2024-10-13,1
SKU000098,Chicco Strollers Pack of 2,Chicco,CAT0134,CAT0006,2546.53,1881.39,Pack of 2,703,2023-07-22,1
SKU000099,Nivea Fragrances 500g,Nivea,CAT0026,CAT0002,278.72,215.82,500g,2612,2022-09-24,0
SKU000100,Mee Mee Baby Care Pair,Mee Mee,CAT0119,CAT0006,583.01,372.71,Pair,3588,2024-04-17,1
SKU000101,Mamaearth Skincare 100g,Mamaearth,CAT0035,CAT0002,1019.22,615.76,100g,3108,2024-08-18,1
SKU000102,Amul Dairy 250g,Amul,CAT0021,CAT0001,536.76,390.42,250g,1432,2022-05-01,1
SKU000103,Allen Solly Womens Fashion 200ml,Allen Solly,CAT0099,CAT0005,1995.03,1529.79,200ml,4696,2022-03-24,1
SKU000104,Allen Solly Footwear 250g,Allen Solly,CAT0112,CAT0005,1868.66,1340.62,250g,1206,2025-07-22,1
SKU000105,OnePlus Wearables 500g,OnePlus,CAT0076,CAT0004,22067.1,16785.44,500g,2831,2023-12-13,1
SKU000106,LG Audio 200ml,LG,CAT0096,CAT0004,45545.32,32009.11,200ml,2807,2023-07-11,1
SKU000107,Milton Bath Linen Pack of 6,Milton,CAT0063,CAT0003,330.81,220.29,Pack of 6,2592,2020-06-17,1
SKU000108,Prestige Cleaning Pack of 6,Prestige,CAT0060,CAT0003,2520.52,1746.47,Pack of 6,4169,2022-12-19,1
SKU000109,Dove Wellness Pair,Dove,CAT0041,CAT0002,1473.07,1131.65,Pair,1365,2020-07-22,0
SKU000110,Pigeon Bath Linen Pair,Pigeon,CAT0067,CAT0003,246.58,175.31,Pair,3231,2024-04-16,1
SKU000111,Hot Wheels Diapering Single,Hot Wheels,CAT0129,CAT0006,3083.14,1701.75,Single,1721,2021-09-19,1
SKU000112,Mi Large Appliances 200ml,Mi,CAT0085,CAT0004,39014.12,22889.49,200ml,3072,2020-01-10,1
SKU000113,Huggies Strollers 200ml,Huggies,CAT0135,CAT0006,2124.82,1521.0,200ml,3039,2022-02-15,1
SKU000114,Dove Wellness 200ml,Dove,CAT0037,CAT0002,1154.65,898.29,200ml,4086,2024-02-27,1
SKU000115,Hawkins Bath Linen 1L,Hawkins,CAT0063,CAT0003,1111.1,783.89,1L,4212,2023-03-08,1
SKU000116,Levis Ethnicwear Pair,Levis,CAT0107,CAT0005,1956.7,1427.34,Pair,4101,2022-12-25,1
SKU000117,Huggies Baby Care Pair,Huggies,CAT0120,CAT0006,762.17,445.85,Pair,2509,2021-08-23,1
SKU000118,Levis Ethnicwear 1L,Levis,CAT0109,CAT0005,3751.69,2804.29,1L,1695,2023-02-22,1
SKU000119,Nivea Haircare 250g,Nivea,CAT0047,CAT0002,777.87,537.55,250g,3694,2025-06-30,1
SKU000120,Aashirvaad Dairy Pair,Aashirvaad,CAT0024,CAT0001,106.72,72.5,Pair,3199,2022-01-16,1
SKU000121,Hawkins Cleaning 500g,Hawkins,CAT0056,CAT0003,3757.04,2789.08,500g,3705,2024-07-05,0
SKU000122,LG Audio 200ml,LG,CAT0093,CAT0004,26855.59,19370.92,200ml,2747,2022-11-16,1
SKU000123,Levis Womens Fashion 250g,Levis,CAT0099,CAT0005,2010.02,1292.55,250g,1380,2024-02-28,1
SKU000124,MTR Spices Single,MTR,CAT0012,CAT0001,78.42,58.95,Single,879,2023-01-01,1
SKU000125,Sony Large Appliances Pack of 6,Sony,CAT0085,CAT0004,34784.73,26389.85,Pack of 6,3880,2024-01-31,1
SKU000126,Pampers Baby Care 500g,Pampers,CAT0118,CAT0006,3321.53,2256.81,500g,3742,2024-09-24,1
SKU000127,Fortune Atta & Rice Pack of 2,Fortune,CAT0016,CAT0001,548.79,331.52,Pack of 2,4031,2023-07-13,1
SKU000128,Nivea Fragrances 1L,Nivea,CAT0029,CAT0002,99.58,73.53,1L,210,2020-06-08,1
SKU000129,Lotus Skincare Pack of 6,Lotus,CAT0035,CAT0002,346.6,202.38,Pack of 6,3628,2023-03-10,1
SKU000130,Mee Mee Baby Care 1L,Mee Mee,CAT0120,CAT0006,1580.32,1137.85,1L,4918,2019-06-21,1
SKU000131,Mi Large Appliances Pack of 6,Mi,CAT0086,CAT0004,44074.13,30482.79,Pack of 6,4715,2021-10-05,1
SKU000132,Cello Cleaning Pair,Cello,CAT0056,CAT0003,2101.59,1272.59,Pair,3924,2022-08-27,1
SKU000133,Mi Large Appliances Pack of 6,Mi,CAT0087,CAT0004,3967.46,2951.44,Pack of 6,4084,2024-07-11,1
SKU000134,Mi Audio Pack of 2,Mi,CAT0089,CAT0004,7313.25,4976.19,Pack of 2,3003,2022-08-05,1
SKU000135,Mi Large Appliances 250g,Mi,CAT0084,CAT0004,66596.9,51465.46,250g,4139,2025-07-31,1
SKU000136,Biba Footwear 250g,Biba,CAT0114,CAT0005,4374.47,3305.67,250g,3390,2022-09-24,1
SKU000137,Milton Bath Linen 250g,Milton,CAT0063,CAT0003,4026.44,3053.35,250g,4046,2024-03-17,1
SKU000138,Mi TV 500g,Mi,CAT0073,CAT0004,23515.96,15496.03,500g,4923,2019-10-16,1
SKU000139,Biotique Wellness 500g,Biotique,CAT0037,CAT0002,283.47,162.61,500g,3939,2019-01-06,0
SKU000140,Biba Womens Fashion 1kg,Biba,CAT0098,CAT0005,1305.87,806.38,1kg,93,2020-04-15,1
SKU000141,Milton Cleaning Pack of 6,Milton,CAT0060,CAT0003,3875.12,2655.03,Pack of 6,2437,2020-07-05,1
SKU000142,Mee Mee Baby Care 250g,Mee Mee,CAT0121,CAT0006,2459.49,1703.18,250g,2085,2020-05-03,1
SKU000143,OnePlus Large Appliances Single,OnePlus,CAT0080,CAT0004,951.77,706.12,Single,1287,2020-11-13,1
SKU000144,Lakme Haircare Pair,Lakme,CAT0047,CAT0002,298.09,170.71,Pair,114,2024-11-25,1
SKU000145,Sony Audio 500g,Sony,CAT0096,CAT0004,77154.73,58630.02,500g,415,2019-11-24,0
SKU000146,Huggies Baby Care 100g,Huggies,CAT0118,CAT0006,1928.55,1482.79,100g,1508,2024-07-02,1
SKU000147,Allen Solly Ethnicwear 1L,Allen Solly,CAT0106,CAT0005,2972.93,1740.73,1L,4372,2019-04-21,1
SKU000148,Mi Wearables Pack of 6,Mi,CAT0075,CAT0004,13188.63,9004.99,Pack of 6,4917,2019-10-02,1
SKU000149,Borosil Bath Linen 100g,Borosil,CAT0067,CAT0003,4715.99,2801.68,100g,4459,2020-02-02,1
SKU000150,Patanjali Dairy Single,Patanjali,CAT0023,CAT0001,109.55,71.61,Single,2275,2025-07-14,1
SKU000151,Nivea Haircare Pack of 6,Nivea,CAT0047,CAT0002,846.41,479.36,Pack of 6,4589,2020-03-05,0
SKU000152,LG Large Appliances Pack of 2,LG,CAT0082,CAT0004,9541.01,7213.55,Pack of 2,2276,2022-09-22,1
SKU000153,Haldiram Dairy Pack of 6,Haldiram,CAT0019,CAT0001,795.11,440.14,Pack of 6,1591,2020-07-29,1
SKU000154,Hot Wheels Baby Food Pack of 6,Hot Wheels,CAT0126,CAT0006,1462.34,1104.12,Pack of 6,593,2022-08-31,1
SKU000155,Mi Wearables 250g,Mi,CAT0078,CAT0004,48801.61,34048.93,250g,1105,2024-04-09,1
SKU000156,Fortune Dairy Single,Fortune,CAT0024,CAT0001,611.86,384.85,Single,1423,2025-07-08,1
SKU000157,Chicco Baby Food 500g,Chicco,CAT0126,CAT0006,2401.94,1765.11,500g,3339,2021-04-21,1
SKU000158,Pampers Baby Care 1kg,Pampers,CAT0118,CAT0006,456.41,316.91,1kg,4094,2021-04-06,1
SKU000159,LG TV 100g,LG,CAT0071,CAT0004,78524.35,44324.71,100g,3963,2023-06-24,1
SKU000160,Fortune Atta & Rice 100g,Fortune,CAT0015,CAT0001,539.53,408.96,100g,3805,2022-01-14,1
SKU000161,Pigeon Home Decor Single,Pigeon,CAT0053,CAT0003,2163.33,1472.57,Single,2414,2022-11-08,1
SKU000162,WOW Skincare Pack of 6,WOW,CAT0033,CAT0002,669.12,485.82,Pack of 6,486,2023-03-11,1
SKU000163,Pigeon Cleaning 1kg,Pigeon,CAT0061,CAT0003,5824.17,3890.79,1kg,4025,2021-06-22,1
SKU000164,Chicco Diapering 1kg,Chicco,CAT0129,CAT0006,655.36,483.82,1kg,602,2023-07-22,1
SKU000165,Voltas Wearables Pack of 2,Voltas,CAT0078,CAT0004,57123.19,42186.86,Pack of 2,3370,2019-09-25,1
SKU000166,Prestige Bath Linen Pack of 2,Prestige,CAT0066,CAT0003,5259.76,3105.99,Pack of 2,2851,2019-07-13,1
SKU000167,Borosil Bath Linen 200ml,Borosil,CAT0068,CAT0003,3567.15,2392.54,200ml,3824,2024-11-21,1
SKU000168,LG Large Appliances Pair,LG,CAT0080,CAT0004,45078.71,33005.7,Pair,4594,2021-08-28,1
SKU000169,Huggies Baby Care 1kg,Huggies,CAT0118,CAT0006,1741.52,1308.79,1kg,2009,2023-05-16,1
SKU000170,Roadster Ethnicwear Single,Roadster,CAT0108,CAT0005,1282.84,797.22,Single,1712,2020-05-12,1
SKU000171,Sony TV 500g,Sony,CAT0070,CAT0004,59908.72,46172.33,500g,1539,2023-06-10,1
SKU000172,BritEat Spices Pair,BritEat,CAT0011,CAT0001,301.21,206.71,Pair,1140,2021-03-20,1
SKU000173,Amul Spices 200ml,Amul,CAT0012,CAT0001,748.46,503.12,200ml,1994,2025-06-30,1
SKU000174,Patanjali Spices 250g,Patanjali,CAT0011,CAT0001,685.26,387.79,250g,4464,2024-10-31,1
SKU000175,Levis Ethnicwear Pair,Levis,CAT0107,CAT0005,2232.24,1449.39,Pair,1129,2024-01-22,0
SKU000176,boAt Audio 500g,boAt,CAT0094,CAT0004,44304.44,33386.61,500g,3212,2022-07-31,1
SKU000177,Amul Spices 1kg,Amul,CAT0012,CAT0001,375.68,214.34,1kg,3682,2021-03-08,1
SKU000178,boAt Large Appliances Single,boAt,CAT0085,CAT0004,48522.07,35287.62,Single,4357,2025-07-25,1
SKU000179,Haldiram Spices Pack of 2,Haldiram,CAT0011,CAT0001,185.22,111.18,Pack of 2,2823,2024-02-02,1
SKU000180,Voltas Large Appliances 200ml,Voltas,CAT0087,CAT0004,7531.36,4982.62,200ml,682,2024-12-05,0
SKU000181,MTR Spices Pack of 2,MTR,CAT0008,CAT0001,444.45,277.67,Pack of 2,4961,2020-02-03,1
SKU000182,Allen Solly Womens Fashion 100g,Allen Solly,CAT0098,CAT0005,3498.99,1947.3,100g,3036,2022-04-30,0
SKU000183,WOW Wellness 1L,WOW,CAT0041,CAT0002,826.25,458.6,1L,1718,2024-09-29,1
SKU000184,Nivea Fragrances Pack of 2,Nivea,CAT0026,CAT0002,1001.13,669.01,Pack of 2,3685,2025-06-12,1
SKU000185,Lakme Skincare Pair,Lakme,CAT0035,CAT0002,884.63,503.49,Pair,2934,2023-09-30,1
SKU000186,Cello Bath Linen 1L,Cello,CAT0064,CAT0003,1510.25,879.58,1L,2541,2021-12-05,1
SKU000187,Funskool Baby Food 1kg,Funskool,CAT0126,CAT0006,1515.71,1138.67,1kg,3477,2018-12-22,1
SKU000188,Cello Bath Linen 1L,Cello,CAT0066,CAT0003,566.24,330.62,1L,1033,2024-10-25,1
SKU000189,Hot Wheels Strollers 100g,Hot Wheels,CAT0134,CAT0006,916.85,654.64,100g,167,2023-12-14,1
SKU000190,Amul Dairy Single,Amul,CAT0021,CAT0001,346.17,264.04,Single,4073,2021-04-04,1
SKU000191,Sony Audio 1L,Sony,CAT0090,CAT0004,6260.79,3968.89,1L,853,2022-02-15,1
SKU000192,Dove Skincare Single,Dove,CAT0032,CAT0002,329.59,244.41,Single,1431,2024-02-20,1
SKU000193,Pigeon Bath Linen 500g,Pigeon,CAT0067,CAT0003,3557.01,2036.33,500g,1042,2024-03-08,1
SKU000194,Sony Audio Pack of 6,Sony,CAT0093,CAT0004,35202.29,22194.7,Pack of 6,746,2025-06-12,1
SKU000195,Prestige Bath Linen 100g,Prestige,CAT0064,CAT0003,2371.98,1579.74,100g,1086,2024-03-25,1
SKU000196,Mee Mee Diapering 100g,Mee Mee,CAT0130,CAT0006,1765.52,1182.9,100g,780,2019-01-14,1
SKU000197,Allen Solly Ethnicwear 250g,Allen Solly,CAT0108,CAT0005,974.23,698.89,250g,4697,2020-02-19,1
SKU000198,Mee Mee Baby Care 250g,Mee Mee,CAT0121,CAT0006,3259.5,1850.65,250g,3197,2023-11-14,1
SKU000199,Pampers Strollers 200ml,Pampers,CAT0135,CAT0006,1410.7,1038.84,200ml,2919,2019-09-22,1
SKU000200,Hot Wheels Baby Care Single,Hot Wheels,CAT0120,CAT0006,3008.93,1921.55,Single,4574,2020-12-19,1
